"Code","Course name","Course attributes","Course description","Course number","Course subject code","PeopleSoft course ID","PeopleSoft Equivalent Course Group","Topic","Twin Cities: Approved Liberal Education Requirement(s)","Twin Cities: This course is approved as Writing Intensive"
"EPSY4604","Transition From School to Work and Community Living for Persons With Special Needs","-","Use of strategies/models for improving transition of youth from school to work and community living. Course content that specifically addresses all phases of student assessment, individualized transition planning. Parent, family, and student involvement in designing post school options. Community-based services (employment, residential living, social and recreational services, etc). Comprehensive interagency approaches.","4604","EPSY","826265","02119","-","-","No"
"EPSY4605W","Collaborative Practices for the Special Educator","CLE - WI (Writing Intensive)","Skills/knowledge required to consult/collaborate with school personnel, families, other professionals to maintain effective educational support.","4605W","EPSY","826499","03121","-","-","Yes"
"EPSY4609","Infants and Toddlers with Delays/Disabilities: Family-Centered Approaches to Early Intervention","ONL - ONLINE (Online may be available)","This course was designed to provide pre-service and current teachers, as well as related service providers, with the knowledge and skills needed to understand the dynamic ecosystems of families with a child with disabilities. Students will be introduced to the major methods, philosophies, and current research that emphasize effective family-professional collaboration in planning and service delivery for infants and young children with disabilities. The focus is on a family-centered approach to assess and design educational plans and interventions, with a specific emphasis on relationship building and understanding the diverse perspectives on family life and developmental expectations.","4609","EPSY","826500","03123","-","-","No"
"EPSY4614W","Assessment and Due Process in Special Education","CLE - WI (Writing Intensive)","Participants will learn basic standardized assessment and how it directly relates to special education. In addition, students will use the assessment as part of an ongoing process for making instructional programming decisions. Students will apply skills in designing and evaluating assessment plans and in making eligibility decisions.","4614W","EPSY","826189","02121","-","-","Yes"
"EPSY4617","Academic and Social Interventions for Students with Mild to Moderate Disabilities","-","Use problem solving model to make data-based decisions regarding implementation and evaluation of instruction for students with academic and behavioral difficulties.","4617","EPSY","826501","01992","-","-","No"
"EPSY4618","Specialized Interventions for Students With Mild/Moderate Disabilities in Reading & Written Language","-","The purpose of this course is to prepare teachers of students at risk and with academic disabilities to address their specific learning needs in the area of reading and written language, using a data-based decision-making approach. Through course readings, lectures, discussions, cooperative group work, microteaching, and field experiences, students will gain knowledge and skills to address the needs of children with difficulties or disabilities that affect reading and writing, including children with dyslexia and dysgraphia.","4618","EPSY","826502","02123","-","-","No"
"EPSY4657","Interventions for Behavioral Problems in School Settings","-","Comprehensive behavioral programs for students with social and or emotional disabilities. Instructing students with social and or emotional disabilities.","4657","EPSY","826506","02125","-","-","No"
"EPSY4681","Educating Preschoolers with Disabilities: Specialized Approaches and Interventions","ONL - ONLINE (Online may be available)","This course provides an opportunity to engage in in-depth learning related to a variety of specialized approaches and interventions designed to maximize developmental and educational outcomes for young children, birth to age 6, with disabilities and their families in home, community, and school-based settings.  Early educators and early childhood special educators play a major role in the development, implementation, and evaluation of individualized programming and are called upon to provide services that are interdisciplinary, multicultural, family-centered, inclusive, developmentally appropriate, and effective. Thus, early childhood professionals must be knowledgeable of and proficient in their application of curricular adaptations and instructional strategies that address the needs of young children with a broad range of disabilities in a broad range of preschool settings.

prereq: [3616W, 3625] or instr consent","4681","EPSY","826503","03125","-","-","No"
"EPSY4994","Faculty Directed Research in Educational Psychology","-","Arranged independently with individual faculty members.

prereq: instr consent","4994","EPSY","820439","-","-","-","No"
"EPSY5001","Learning, Cognition, and Assessment","ONL - ONLINE (Online may be available)","In this course, you will learn about: Theories of child development and how they relate to approaches to instruction; Behaviorist, cognitive, and social cognitive learning theories; Approaches to instruction and assessment (teacher-centered vs. student-centered vs. assessment-centered); and Issues related to assessment and measuring student learning (validity, reliability, interpretation, etc.) by participating in assessment design (traditional, performance, formative) and interpretation.","5001","EPSY","016260","00140","-","-","No"
"EPSY5015","Teaching Students with Special Needs in Inclusive Settings","-","Areas of exceptionality defined in federal/state regulations. Historical perspectives, definitions, etiology, characteristics, needs, and service delivery systems. Collaborating with special education personnel.

prereq: Enrolled in a teacher initial licensure program","5015","EPSY","808132","-","-","-","No"
"EPSY5016","Special Education Foundations - Advancing Equity and Inclusive Practices","ONL - ONLINE (Online may be available)","This course is designed to provide students with information on (a) historical foundations and due process in special education; (b) ability, intersectionality, and equity in special education; and (c) universal design for learning, multi-tiered systems of support, and equity-oriented pedagogy. Through this course, the historical foundations of special education will be laid out for students, including the legislation and litigation that have led to current policy and practice. Then, students will examine current theories and issues surrounding the concepts of ability, intersectionality, and equity in special education. Finally, students will learn how to enact culturally sustainable and equitable teaching practices through universal design for learning and multi-tiered systems of support. ","5016","EPSY","808133","-","-","-","No"
"EPSY5017","Teaching Exceptional Students in General Education Classrooms","-","This course will provide an overview of the areas of exceptionality defined in federal and state regulations.  The focus of this course will be on historical perspectives, definitions, etiology, characteristics, needs, and service delivery systems for each area of exceptionality as well as the general educator?s role in collaborating with special education personnel in order to meet the needs of students with special needs.","5017","EPSY","816640","-","-","-","No"
"EPSY5101","Intelligence and Creativity","ONL - ONLINE (Online may be available)","Contemporary theories of intelligence and intellectual development and contemporary theories of creativity and their implications for educational practices and psychological research.","5101","EPSY","002203","01874","-","-","No"
"EPSY5114","Psychology of Student Learning","ONL - ONLINE (Online may be available)","This course is an introduction to the theories, data, and methods of Educational Psychology most relevant to understanding student thinking and learning. The first third of the course reviews those aspects of cognitive development that are foundational for education. The second third considers how cognitive psychology informs questions of learning, memory, knowledge, and transfer. With this background in place, the final third of the course will focus on the classroom: on instruction, motivation, individual differences, and group differences. The course concludes by considering the neural correlates of classroom learning.","5114","EPSY","002207","01814","-","-","No"
"EPSY5116","Education of the Gifted and Talented","ONL - ONLINE (Online may be available)","Theories of giftedness, talent development, instructional strategies, diversity and technological issues, implications for educational practices and psychological inquiry, and international considerations.","5116","EPSY","002237","-","-","-","No"
"EPSY5119","Mind, Brain, and Education","-","How educationally relevant skills/concepts develop in both typical/atypical children.

prereq: 3301 or equiv","5119","EPSY","809099","-","-","-","No"
"EPSY5121","Debugging Failure in Learning","-","This course investigates the double-edge potential of failure to catalyze and thwart learning. The goal is to develop a multi-dimensional framework drawing on psychological, cognitive, interpersonal, and systemic perspectives that can be used in research to document, understand, problematize, and ultimately support students experiences with failure during learning. Central topics include causal attributions, play-based failures, counter storytelling, inequities, framing, and motivation. Course activities include reviews of experimental and observational research; reflections on video of students and instructors navigating moments of failure; and opportunities to develop research designs and/or analyze new data attending to failure.","5121","EPSY","825089","-","-","-","No"
"EPSY5122","Programming Fundamentals for Social Science Research","-","What is computer programming, and how can it be used to improve your research? This course teaches the fundamental concepts and techniques of programming using the open-source Python 3 language, while emphasizing a variety of applications to social science research, including data analysis, visualization, task automation, and retrieving data from the internet through APIs and scraping.  The course covers fundamental programming concepts, as well as software engineering topics such as writing robust code, testing, debugging, collaboration, version control, and working with file systems. The course is taught with an active, hands-on approach to programming, including class discussions and group work. It is designed to be accessible to students without any prior programming experience.","5122","EPSY","825288","-","-","-","No"
"EPSY5123","Programming Workflows for Psychological Research","-","How can researchers use open-source programming to create a reproducible and flexible workflow? This course teaches programming and computer-based skills that are increasingly important methods in psychological research, like fundamental programming concepts, data wrangling in R, online experiments and surveys with JavaScript, version control with git, using the Open Science Framework, and writing reproducible reports with R Markdown. It emphasizes open science practices and readily implementable skills for a more streamlined and automated research workflow. The course is taught with an active, hands-on approach to programming, including class discussions and group work. It is designed to be accessible to students without any prior programming experience.

prereq: Students should have taken an undergraduate- or graduate-level statistics course.","5123","EPSY","825289","-","-","-","No"
"EPSY5135","Human Relations Workshop","ONL - ONLINE (Online may be available)","Experiential course addressing issues of prejudice and discrimination in terms of history, power, and social perception. Includes knowledge and skills acquisition in cooperative learning, multicultural education, group dynamics, social influence, effective leadership, judgment and decision-making, prejudice reduction, conflict resolution. ","5135","EPSY","002212","-","-","-","No"
"EPSY5151","Cooperative Learning","-","Participants learn how to use cooperative learning in their setting.  Topics include theory and research, teacher's role, essential components that make cooperation work, teaching social skills, assessment procedures, and collegial teaching teams.","5151","EPSY","002221","-","-","-","No"
"EPSY5157","Social & Developmental Psychology of Education","ONL - ONLINE (Online may be available)","Social and developmental psychology provides the underpinnings for a range of methods for conducting research in real-world settings. They also lay conceptual foundations for understanding a range of social and developmental processes. The course will cover a full range of topics within social and developmental psychology, plus selected topics in personality psychology, and examine their implications for understanding and structuring educational and other professional settings. Discussions will include a strong focus on educator and practitioner applications of research. 

The course is a survey course of issues related to both social psychology and human development and, their application to applied settings. It is designed for graduate students from all fields with interests in social processes. Typically, each class period of the course will include a combination of lecture, class discussion, small group cooperative learning work, and videos.","5157","EPSY","002220","-","-","-","No"
"EPSY5200","Special Topics: Psychological Foundations","TOP - TOPICS (Topics Course)","Focus on special topics in psychological and methodological concepts relevant to advanced educational theory, research, and practice not covered in other courses.","5200","EPSY","003132","-","-","-","No"
"EPSY5216","Introduction to Research in Educational Psychology and Human Development","-","Designing/conducting a research study. Reviewing literature, formulating research problem, using different approaches to gather data, managing/analyzing data, reporting results.

prereq: 5261 or intro statistics course","5216","EPSY","003551","-","-","-","No"
"EPSY5220","Special Topics: Quantitative Methods","TOP - TOPICS (Topics Course)","Focus on special topics in methodological concepts involving theory, research, and practice in statistics, measurement, evaluation, and statistics education not covered in other courses.","5220","EPSY","806662","-","-","-","No"
"EPSY5221","Principles of Educational and Psychological Measurement","ONL - ONLINE (Online may be available)","Concepts, principles, and methods in educational/psychological measurement. Reliability, validity, item analysis, scores, score reports (e.g., grades). Modern measurement theories, including item response theory and generalizability theory. Emphasizes construction, interpretation, use, and evaluation of assessments regarding achievement, aptitude, interests, attitudes, personality, and exceptionality.","5221","EPSY","002247","-","-","-","No"
"EPSY5243","Principles and Methods of Evaluation","ONL - ONLINE (Online may be available)","Introductory course in program evaluation; planning an evaluation study, collecting and analyzing information, reporting results; overview of the field of program evaluation.","5243","EPSY","792018","00571","-","-","No"
"EPSY5244","Survey Design, Sampling, and Implementation","-","Survey methods, including mail, phone, and Web-based/e-mail surveys.  Principles of measurement, constructing questions/forms, pilot testing, sampling, data analysis, reporting. Students develop a survey proposal and a draft survey, pilot the survey, and develop sampling/data analysis plans.

prereq: [5221 or 5231 or 5261 or equiv], [CEHD grad student or MEd student]","5244","EPSY","791039","-","-","-","No"
"EPSY5245","Advanced Survey Data Analysis for Categorical and Rating Scale Data","-","Practical course. Specific nature of survey data (typically categorical or ordinal). Appropriate data analytic methods.

prereq: 5244, 5261","5245","EPSY","804066","-","-","-","No"
"EPSY5247","Qualitative Methods in Educational Psychology","-","Introduction to qualitative methods of inquiry. Contrasting different research traditions (e.g., case study, phenomenology, ethnography, social interactionism, critical theory). Practice with field notes, observations, and interviewing. Use of NVIVO to track/code data.

prereq: Graduate student or Applied Psychology in Educational and Community Settings Minor","5247","EPSY","791921","-","-","-","No"
"EPSY5261","Introductory Statistical Methods","-","EPSY 5261 is designed to engage students in statistics as a principled approach to data collection, prediction, and scientific inference. Students first learn about data collection (e.g., random sampling, random assignment) and examine data descriptively using graphs and numerical summaries. Students build conceptual understanding of statistical inference through the use of simulation-based methods (bootstrapping and randomization) before going on to learn parametric methods, such as t-tests (one-sample and two-sample means), z-tests (one-sample and two-sample proportions), chi-square tests, and regression. This course uses pedagogical methods grounded in research, such as small group activities and discussion.

Attention undergraduates: As this is a graduate level course, it does not fulfill the Mathematical Thinking Liberal Education requirement. If you would like to take a statistics course in our department that fulfills that requirement, please consider EPSY 3264.","5261","EPSY","002250","00782","-","-","No"
"EPSY5262","Intermediate Statistical Methods","-","Application of statistical concepts/procedures. Analysis of variance, covariance, multiple regression. Experimental design: completely randomized, block, split plot/repeated measures.

prereq: 3264 or 5261 or equiv","5262","EPSY","788804","-","-","-","No"
"EPSY5272","Statistics Teaching Internship","-","Supervised teaching experience.

prereq: Grad student, instr consent","5272","EPSY","794255","-","-","-","No"
"EPSY5400","Special Topics in Counseling Psychology","TOP - TOPICS (Topics Course)","Theory, research, and practice in counseling and student personnel psychology. Topics vary.","5400","EPSY","003109","-","-","-","No"
"EPSY5402","Counseling History and Theories","-","This course provides a broad introduction to professional counseling. Students will explore the major historical and contextual factors that have influenced the counseling field, with particular focus on theories and models of counseling practice. Roles and responsibilities of the professional counselor will also be discussed. Coursework will emphasize professional development via self-reflection, awareness of context and culture, and cultivation of counselor identity.","5402","EPSY","001934","-","-","-","No"
"EPSY5403","Counseling Diverse Populations","-","This course addresses counseling implications for diverse individuals and families. Students will understand the impact of worldview and other factors such as ethnicity, culture, religious preference, socioeconomic status, gender identity, sexual orientation, and disabilities in community, higher education, and school settings. Students will examine their own worldviews as it relates to the topics discussed. Advocacy and social justice practices for working with diverse populations will also be addressed.","5403","EPSY","001807","-","-","-","No"
"EPSY5404","Group Counseling","ONL - ONLINE (Online may be available)","This course addresses foundations of group counseling that can be applied to multiple settings with a variety of diverse populations and age groups. Essential group leadership skills, types of groups, stages, planning, and evaluating groups will be covered. Additional topics include legal and ethical issues involved in group counseling, group dynamics, and therapeutic factors.","5404","EPSY","001938","-","-","-","No"
"EPSY5405","Career Counseling","ONL - ONLINE (Online may be available)","This course covers career development theories, career counseling procedures and techniques, career assessment/interpretation, and career development programming across the lifespan. Career interventions and resources will be discussed that relate to diverse populations within school, community, and higher education settings.","5405","EPSY","001759","-","-","-","No"
"EPSY5406","Ethics in Counseling","ONL - ONLINE (Online may be available)","This course will help students deeply explore the ethical standards and legal principles that must be referenced when making decisions in the practice of counseling. Students will learn how to apply the ethical standards and federal/state legal statutes to complex counseling cases. Ethical standards related to assessment, diagnosis, and practice are discussed in relation to counseling diverse populations in school, community, and higher education settings.","5406","EPSY","796878","-","-","-","No"
"EPSY5407","Diagnosis and Treatment in Counseling","-","Etiology, symptom patterns, and assessment/treatment for various psychological disorders. Models of diagnosis. Empirically validated psychological assessment and counseling methods. Attention to cultural competency in assessment, diagnosis, and treatment.","5407","EPSY","800646","-","-","-","No"
"EPSY5408","Counseling Skills","-","This course introduces students to fundamental techniques and skills of professional counseling. Students will practice basic interviewing skills, with a focus on rapport-building and evidence-based counseling relationships. Specific techniques for facilitating exploration, insight, and change will also be covered.  Finally, students will integrate knowledge of counseling models and basic skills through a series of videotaped counseling practice and self-reflection assignments.","5408","EPSY","819016","-","-","-","No"
"EPSY5409","Trauma and Crisis Counseling","-","This course provides an overview of theories and skills commonly used by counselors working with clients in crisis. The first half of the course will cover assessment, impacts, and treatment of psychological trauma, including trauma-informed approaches to crisis situations. The second half of the course will cover specific types of crises commonly seen by counselors in a range of community and educational settings, with a focus on ethical and multiculturally-competent practice. There will be an emphasis on resiliency and self-care throughout the course.","5409","EPSY","818793","-","-","-","No"
"EPSY5414","School Counselor Accountability, Advocacy, and Leadership","-","This course will equip school counselors-in-training with the knowledge and skills to develop intentional, data-driven school counseling programs. Focus will be given to evidence-based counseling interventions. Students will learn how to use data both in the development and evaluation of their school counseling program. Students will practice using data to advocate while also developing their leadership skills.","5414","EPSY","818746","-","-","-","No"
"EPSY5415","Counseling Children and Adolescents","ONL - ONLINE (Online may be available)","Development, issues, and needs of children, kindergarten through high school ages. Counseling/developmental theory/strategies. Cultural diversity, legal/ethical issues in counseling children/adolescents.

prereq: Grad student or MEd student or K-12 [counseling endorsement or licensure] student","5415","EPSY","793102","-","-","-","No"
"EPSY5416","Introduction to Clinical Mental Health Counseling","-","This course will help students understand the foundations of the clinical mental health counseling profession. The major focus will be on developing a counselor identity and learning about the history and evolution of mental health counseling as a field.","5416","EPSY","819017","-","-","-","No"
"EPSY5417","Counseling Research Practicum","ONL - ONLINE (Online may be available)","The purpose of this course is to enable students to develop applied research expertise consistent with their responsibilities as licensed professional counselors, licensed professional clinical counselors, higher education counselors, school counselors, career counselors, and professionals in other counseling-related fields. This is the first course in the 2-course Counseling Research Practicum sequence.","5417","EPSY","825655","-","-","-","No"
"EPSY5427","Advanced Counseling Research Practicum","ONL - ONLINE (Online may be available)","The purpose of this course is to enable students to gain further skills in developing applied research expertise consistent with their responsibilities as licensed professional counselors, licensed professional clinical counselors, higher education, school, and career counselors, and professionals in other counseling-related fields. This is the second of a 2-course Counseling Research Practicum sequence.

prereq: Completion of EPSY 5417 for 2 credit hours","5427","EPSY","825665","-","-","-","No"
"EPSY5429","Advanced Concepts in Clinical Mental Health","-","This course provides advanced counseling students with an opportunity to explore more deeply recent trends, new ideas, and contemporary issues in clinical mental health. Current research and practice around a variety of topics, such as identifying and counseling clients with substance use and co-occurring disorders, counseling clients with eating disorders, genetic counseling and the role of genetics in mental health, neurology, neuropharmacology, the role of counselors in referral and supporting clients under psychiatric care, and how counselors can work effectively on mental health teams, interface with other health and mental health professionals, and advocate for persons with mental health issues will be explored. Students will consider human diversity and counseling with clients from diverse backgrounds and perspectives, as well as the use of evidence-based and innovative practices in treatment within each of these areas of study.","5429","EPSY","818747","-","-","-","No"
"EPSY5435","Introduction to School Counseling","-","History/evolution of school counselor role in schools. Duties/demands of school counselor. Examine comprehensive guidance programming in K-12 schools. Issues in school counseling profession.

prereq: Ed Psych Counselor Ed grad student in school counselor prog or instr consent","5435","EPSY","001846","-","-","-","No"
"EPSY5437","Counseling Research Design","ONL - ONLINE (Online may be available)","This capstone course is an integration of science and practice. Students will learn research design techniques that are relevant and accessible to counselors in full-time practice, counselor educators, counseling consultants, and others in the counseling professions. Students will develop knowledge and skills related to identifying evidence-based counseling practices, developing and measuring client outcomes, analyzing and using data in counseling, and understanding how to implement ethical and culturally relevant research, data interpretation, and reporting strategies. The bulk of coursework will be the development, presentation, and defense of a research proposal in students’ areas of interest. Students will learn the importance of research in advancing the counseling profession, and will practice using multiple data sources to inform programs and services in schools, counseling agencies, and higher education settings.","5437","EPSY","818748","-","-","-","No"
"EPSY5439","Case Conceptualization and Treatment Planning - Clinical Mental Health","-","This course introduces students to fundamental assessment, interviewing, case conceptualization, and treatment planning skills used by counselors in community and higher education settings. Students will have the opportunity to observe and practice intake interviews, to conceptualize clients from a culturally-informed, biopsychosocial perspective, and identify and communicate measurable treatment goals and effective interventions. Students will also work in groups to more deeply investigate and apply various approaches to case conceptualization and receive feedback from peers.","5439","EPSY","818750","-","-","-","No"
"EPSY5462","Case Conceptualization and Treatment Planning -- Dual Licensure","ONL - ONLINE (Online may be available)","This course introduces students to fundamental assessment, interviewing, case conceptualization, and treatment planning skills used by counselors in clinical mental health settings. Thus, it is appropriate for students in the school counseling track intending to pursue counseling licensure or work in a mental health capacity. Students will have the opportunity to observe and practice intake interviews, to conceptualize clients from a culturally-informed, biopsychosocial perspective, and identify and communicate measurable treatment goals and effective interventions. Students will also work in groups to more deeply investigate and apply various approaches to case conceptualization and receive feedback from peers.

prereq: Graduate student in counselor education or a related field, or by instructor permission","5462","EPSY","826259","-","-","-","No"
"EPSY5463","NCMHCE Test Prep","ONL - ONLINE (Online may be available)","In this course, students will work through case studies analyzing diagnosis, treatment planning, and interventions for clinical mental health. Participants will review significant theories, assessments, interventions, and review testing vignettes for the national exam. Students will be taught how to critically analyze case studies and vignettes to make educated decisions on how to handle various clinical situations.

prereq: Graduate student in counselor education or a related field, or by instructor permission.","5463","EPSY","826270","-","-","-","No"
"EPSY5481","Practicum in School Counseling","CEL - CLINICAL (Clinical), CEL - FIELD STDY (Field Study), CEL - PRACTICUM (Practicum)","This course is designed to support student growth in their development as a school counselor and to add to the training that they receive at their on-site placements. While enrolled in this course, students will be counseling clients in schools for the first time since entering this program. This class is designed to provide group supervision and support during their time on site. It is also designed to provide classroom instruction in areas that are relevant to the practice of school counseling. The course content will be delivered via class discussion, case presentations, tape review and online discussions. During the practicum, students will accrue a minimum of 100 hours, but will not exceed 200 hours at their practicum site. Faculty will collaborate biweekly with site supervisors to ensure that their needs are met and to provide support for the individual supervision that takes place on site.","5481","EPSY","818795","-","-","-","No"
"EPSY5482","Practicum in Clinical Mental Health","CEL - CLINICAL (Clinical), CEL - FIELD STDY (Field Study), CEL - PRACTICUM (Practicum), ONL - ONLINE (Online may be available)","This course is designed to support student growth in their development as a counselor and to add to the training that they receive at their on-site placements. While enrolled in this course, students will be counseling clients in various settings for the first time since entering this program. This class is designed to provide group supervision and support during their time on site. It is also designed to provide classroom instruction in areas that are relevant to the practice of counseling. The course content will be delivered via class discussion, case presentations, tape review, and online discussions.","5482","EPSY","818796","-","-","-","No"
"EPSY5483","Internship I","-","Supervised practice in counseling with individuals and groups; emphasizes systematic evaluation of student?s counseling practice through direct observations, video, and audio tapes.","5483","EPSY","001941","-","-","-","No"
"EPSY5484","Internship II","-","Intermediate supervised practice in counseling with individuals and groups; emphasizes ethical issues with systematic evaluation of student?s practice through direct observations, video, and audio tapes.","5484","EPSY","001946","-","-","-","No"
"EPSY5604","Transition From School to Work and Community Living for Persons With Special Needs","ONL - ONLINE (Online may be available)","Use of strategies/models for improving transition of youth from school to work and community living. Course content that specifically addresses all phases of student assessment, individualized transition planning. Parent, family, and student involvement in designing post school options. Community-based services (employment, residential living, social and recreational services, etc). Comprehensive interagency approaches.","5604","EPSY","001584","02119","-","-","No"
"EPSY5605W","Collaborative Practices for the Special Educator","CLE - WI (Writing Intensive), ONL - ONLINE (Online may be available)","Skills/knowledge required to consult/collaborate with school personnel, families, other professionals to maintain effective educational support.","5605W","EPSY","809191","03121","-","-","Yes"
"EPSY5609","Infants and Toddlers with Delays/Disabilities: Family-Centered Approaches to Early Intervention","ONL - ONLINE (Online may be available)","This course was designed to provide pre-service and current teachers as well as related service providers with the knowledge and skills needed to understand the dynamic ecosystems of families with a child with disabilities. Students will be introduced to the major methods, philosophies, and current research that emphasize effective family-professional collaboration in planning and service delivery for infants and young children with disabilities. The focus is on a family-centered approach to assess and design educational plans and interventions, with a specific emphasis on relationship building and understanding the diverse perspectives on family life and developmental expectations.","5609","EPSY","001165","03123","-","-","No"
"EPSY5613","Foundations of Special Education I","CLE - DSJ (Race, Power, and Justice US), ONL - ONLINE (Online may be available)","To review the foundations of special education, culminating in an understanding of the application of the IDEAL Problem Solving Model. The course will address concepts related to exceptionality; historical and legal foundations; problem solving and tools of inquiry; collaborative relationships with families, educational, and community professionals; support of students with disabilities in general education; characteristics of students with high and low incidence disabilities, and ethics. Teacher candidates will learn methods of formative assessment using curriculum-based measures (CBM) and practice analyzing data to make instructional decisions and inform early intervention for struggling students.","5613","EPSY","001601","03076","-","Race, Power, and Justice in the United States","No"
"EPSY5614W","Assessment and Due Process in Special Education","CLE - WI (Writing Intensive), ONL - ONLINE (Online may be available)","Participants will learn basic standardized assessment and how it directly relates to special education. In addition, students will use the assessment as part of an ongoing process for making instructional programming decisions. Students will apply skills in designing and evaluating assessment plans and in making eligibility decisions.","5614W","EPSY","001099","02121","-","-","Yes"
"EPSY5616W","Classroom Management and Behavior Analytic Problem Solving","CEL - SERV-LRNG (Service-Learning), CLE - WI (Writing Intensive), ONL - ONLINE (Online may be available)","Focuses on principles of behavior analysis and procedures used in the assessment and management of classroom behavior. Although the application of behavioral principles in educational settings is the central purpose of this course, complementary issues related to general classroom management will also be addressed. Consistent with the mission of the College of Education and Human Development, this course aims to strengthen effective educational practice, promote inquiry, and build leadership skills for regular and special educators and professionals in allied fields. Community Engaged Learning (CEL): This course integrates community engaged learning in an educational setting, which may include day-care centers, pre-kindergarten programs, K-12 schools, and post-secondary transition programs. Students are required to engage in a community placement for a minimum of 2 hours per week (20 hours total). Licensure students should use their pre-student teaching field experience placements as their CEL site and must complete the minimum number of hours required of their field experience course. Note: Teacher licensure candidates should register for the appropriate pre-student teaching field experience in accordance with their program plans. Non-licensure students have two options for securing a CEL placement: (1) register for 1 credit of EPSY 3701/5701 Practicum: Field Experience in General Education – Inclusive Classrooms or (2) secure a placement through the UMN Center for Community Engaged Learning (information provided in class).","5616W","EPSY","001188","03122","-","-","Yes"
"EPSY5617","Academic and Social Interventions for Students with Mild to Moderate Disabilities","ONL - ONLINE (Online may be available)","Use problem-solving model to make data-based decisions regarding implementation and evaluation of instruction for students with academic and behavioral difficulties.","5617","EPSY","809193","01992","-","-","No"
"EPSY5618","Specialized Interventions for Students With Mild/Moderate Disabilities in Reading & Written Language","ONL - ONLINE (Online may be available)","The purpose of this course is to prepare teachers of students at risk and with academic disabilities to address their specific learning needs in the area of reading and written language, using a data-based decision-making approach. Through course readings, lectures, discussions, cooperative group work, microteaching, and field experiences, students will gain knowledge and skills to address the needs of children with difficulties or disabilities that affect reading and writing, including children with dyslexia and dysgraphia.","5618","EPSY","799944","02123","-","-","No"
"EPSY5623","Ethics in Applied Behavior Analysis","ONL - ONLINE (Online may be available)","This course explores ethical and professional considerations that pertain to the practice of applied behavior analysis as well as ethical and disciplinary standards of the profession. Specifically, this course examines the Professional and Ethical Compliance Code for Behavior Analysts. Emphasis will be placed upon ethical and professional conduct and legal issues relevant to BCBA level practitioners. Topics such as informed consent, due process, protection of confidentiality, and selection of least intrusive, least restrictive behavior change procedures will be discussed. This course will focus on ethical decision-making processes. Issues related to cultural and ethnic diversity and ethics in applied behavior analysis will also be explored.","5623","EPSY","816841","-","-","-","No"
"EPSY5625","Education of Infants, Toddlers, and Preschool Children with Disabilities: Introduction","ONL - ONLINE (Online may be available)","Examination of key issues and practices related to early intervention and early childhood special education, with an emphasis on family-focused and inclusive services for children birth to age six. Students enrolled in this course will be provided with a background in historical and philosophical issues relating to special education, components of due process and data privacy, the IEP/IFSP process, an overview of various disabilities and disorders, and information regarding how disabilities may affect individuals and families.  ","5625","EPSY","001221","03124","-","-","No"
"EPSY5627","Seminar: Advanced issues in Learning Disabilities","-","Read, reflect, lead discussions related to issues in field of LD. Topics examined through relevant research in field of LD.

prereq: Special Education graduate or licensure student or instr consent","5627","EPSY","809728","-","-","-","No"
"EPSY5631","Module 1: Introduction to Augmentative and Alternative Communication","ONL - ONLINE (Online may be available)","Terms/concepts related to augmentative/alternative communication. Myths/facts regarding AAC.","5631","EPSY","809195","03120","-","-","No"
"EPSY5632","Module 2: Evidence-based Methods for AAC Assessment and Intervention","ONL - ONLINE (Online may be available)","Evidence-based tools to conduct augmentative/alternative communication (AAC) assessments. AAC intervention plans. Data-driven strategies to evaluate progress.","5632","EPSY","809196","-","-","-","No"
"EPSY5637","Core Practices in Special Education: Foundations of Special Education","ONL - ONLINE (Online may be available)","This course is an online module designed to be taken the first semester of a 4-semester sequence in the Clinical EBD Licensure Program. All materials necessary for proficient completion of the course will be delivered via on-line course. There will be no additional readings associated with this online module.

prereq: Enrolled in Special Ed MEd or Special Ed ILP MEd program with EBD Residency-Based subplan","5637","EPSY","814828","-","-","-","No"
"EPSY5638","Core Practices in Special Education: IEP Writing","ONL - ONLINE (Online may be available)","This course is an online module designed to be taken the second semester, in conjunction with the IEP Process course, of a 4-semester sequence in the Clinical EBD Licensure Program. All materials necessary for proficient completion of the course will be delivered via on-line course. There will be no additional readings associated with this online module.","5638","EPSY","814829","-","-","-","No"
"EPSY5641","Foundations of Deaf Education","ONL - ONLINE (Online may be available)","Philosophical foundations of deaf and hard of hearing (DHH) education. Engage in discussion, debates, and processes that have influenced deaf education, communication methodologies, and placement options in the US. Considered from the perspective of deaf and hard of hearing children, adults, and their families.","5641","EPSY","001552","-","-","-","No"
"EPSY5642","Early Intervention for Infants, Toddlers and Families: Deaf and Hard of Hearing","ONL - ONLINE (Online may be available)","Early identification and intervention with deaf and hard of hearing children including the development of ASL and English, Emergent Literacy in the homes and the role of Deaf Mentors. Emphasis on the importance of early exposure to fully accessible language and addressing the issue of language deprivation.

prereq: Preservice teacher in deaf education licensing program or instr consent.","5642","EPSY","788919","-","-","-","No"
"EPSY5643","Seminar: Identity, Culture and Diversity in Deaf Education","ONL - ONLINE (Online may be available)","Reflecting on your own identity as a future teacher of the deaf and how to facilitate the identity development of your students. Having a deep understanding of the diversity of students and their families and how best to foster these relationships and communication. Synthesis of previously learned material into practice.","5643","EPSY","816794","-","-","-","No"
